Model,Short %,Flat %,Long %
Z-Score (BTC),23.623714458560194,37.114337568058076,39.26194797338173
Trend (BTC),0.0,0.0,100.0
OU (BTC),0.0,37.114337568058076,62.885662431941924
Pair BTC-ETH,10.874168179068361,79.86993345432548,9.25589836660617
