Model,Sharpe,Sortino,CAGR,MaxDD,Calmar,AnnualReturn,AnnualVol,Observations,AnnualTurnover
Trend (BTC),0.8889081144550603,0.9048430975108259,0.41637724920680097,-0.854880645467323,0.4870589261956997,0.5259486400388845,0.5916794227503639,6612,1.0764519056261346
OU (BTC),0.8064691376464281,0.8463316477599299,0.33155618284873833,-0.8339900882037532,0.3975541047050615,0.4288823096250021,0.5318025075040534,6612,0.05520266182698125
Z-Score (BTC),0.7673774689040477,0.8038023119892223,0.30414210023260724,-0.8300201924525319,0.366427350802072,0.4081169958367615,0.5318334357921995,6612,3.6985783424077434
Pair BTC-ETH,-0.020952791959626984,-0.01630873397478624,-0.0551252861376369,-0.8824578346715416,-0.06246789814966627,-0.006563538466979841,0.31325364560612423,3008,1.3800665456745311
